Flagship,Price,GBMC,Manufacturer
iPhone 12 pro,1000,3845,Apple
iPhone 12,830,3899,Apple
iPhone 11,600,3027,Apple
iPhone SE,400,2747,Apple
iPhone XR,500,2149,Apple
Galaxy Note 20 Ultra 5G,1300,"2,721",Samsung
Galaxy Note 29 5G,1000,"2,721",Samsung
Galaxy Z Fold2 5G,2000,2500,Samsung
Galaxy S20 Ultra 5G,1400,3104,Samsung
Galaxy S20+ 5G,1200,3100,Samsung
Galaxy S20 5G,1000,3072,Samsung
Galaxy Note 10,950,2500,Samsung
Galaxy Z Flip,1300,2610,Samsung
Galaxy Z Flip 5G,1450,2610,Samsung
Galaxy Note 10+,1100,2161,Samsung
Galaxy S10+,850,2161,Samsung
Galaxy S10,750,2500,Samsung
Velvet 5G UW,700,2365,LG
WING,1000,1843,LG
Pixel 4,800,2030,Google
Pixel 5,700,1565,Google
Pixel 4a,120,1406,Google
